iteration,bin,avg_density,avg_velocity_x,avg_velocity_y,avg_velocity_z
2000,0,0,0,0,0
2000,1,12,0,0,0
2000,2,0,0,0,0
2000,3,12,0,0,0
2000,4,2.7,0.0183199,-10.7311,0.581212
2000,5,4.53333,-2.05352,-17.7069,-2.34923
2000,6,4.23333,-1.12472,-17.2258,-1.66325
2000,7,4.23333,5.61614,-20.3227,-0.897779
2000,8,3.96667,1.12611,-18.3016,1.64491
2000,9,4.2,-3.38067,-24.7273,-2.26225
2000,10,4.2,4.20881,-21.2611,0.324673
2000,11,3.46667,3.59937,-16.9872,-0.464653
2000,12,4.36667,0.435048,-19.5659,3.86927
2000,13,4.03333,-1.53634,-20.0894,-0.0812955
2000,14,4.36667,2.71122,-24.897,3.18005
2000,15,3.73333,1.67242,-22.265,3.67004
2000,16,4.2,0.144161,-20.2459,2.34544
2000,17,3.73333,1.77146,-22.9103,-2.80225
2000,18,4.43333,2.22239,-24.4273,2.12552
2000,19,4.26667,4.95112,-19.4746,-0.217088
2000,20,4.43333,1.48871,-23.4741,-2.47375
2000,21,3.43333,2.13249,-18.1117,-1.39594
2000,22,4.73333,-1.94434,-31.0138,0.387507
2000,23,4.36667,1.42142,-24.2889,-3.92414
2000,24,4.1,-0.619651,-22.087,-1.83795
2000,25,4.26667,0.502643,-23.3874,2.39839
2000,26,4.33333,2.30826,-22.1754,-0.971312
2000,27,4.3,1.03978,-28.1748,1.06879
2000,28,4.4,1.48323,-23.6331,0.935108
2000,29,4.16667,-5.43733,-23.1654,2.06489
2000,30,4.3,-0.557318,-17.9407,1.43826
2000,31,4.1,-2.41038,-21.2953,-0.41091
2000,32,4.1,0.249213,-23.0833,2.18432
2000,33,4.7,2.21507,-25.3063,-5.1821
2000,34,3.7,1.48045,-17.5891,-0.424098
2000,35,4.23333,-1.16216,-17.0372,-0.352356
2000,36,4.23333,-1.70741,-23.4632,1.77958
2000,37,3.86667,0.272084,-15.1657,1.44695
2000,38,3.93333,-3.7332,-15.8057,0.235008
2000,39,4.13333,-2.53971,-16.9804,3.13486
2000,40,4.23333,-0.804844,-25.583,-1.68368
2000,41,4.5,-5.23365,-18.2045,-0.0623985
2000,42,3.5,0.892386,-19.206,-3.81775
2000,43,5.2,0.0468204,-19.3947,-3.07034
2000,44,0.733333,-0.866685,-2.81745,-0.845693
2000,45,12,0,0,0
2000,46,0,0,0,0
2000,47,12,0,0,0
2000,48,0,0,0,0
2000,49,0,0,0,0
4000,0,0,0,0,0
4000,1,12,0,0,0
4000,2,0,0,0,0
4000,3,12,0,0,0
4000,4,2.4,1.70496,-19.1374,-0.10373
4000,5,3.7,0.274227,-27.383,2.15569
4000,6,3.83333,-2.37507,-29.3562,0.463904
4000,7,4.13333,-1.23774,-32.9686,1.53459
4000,8,4.4,2.33539,-40.0361,0.57533
4000,9,4.36667,2.17007,-44.9856,-2.37546
4000,10,4,0.141156,-37.2964,2.42262
4000,11,4.2,-1.40222,-41.0832,-0.652726
4000,12,4.63333,2.18467,-47.3155,-0.232649
4000,13,3.9,-0.504489,-40.9183,6.07559
4000,14,4.1,-3.79068,-41.7577,-1.11043
4000,15,3.83333,-1.5615,-35.5906,0.667924
4000,16,4.06667,-3.93885,-41.709,-3.68697
4000,17,4,-3.91348,-43.8286,0.540636
4000,18,4.3,-3.45892,-46.6408,-4.27615
4000,19,4.16667,0.8969,-43.6772,2.73298
4000,20,3.83333,0.182949,-36.1884,0.0594301
4000,21,4.13333,3.71421,-43.1355,0.267715
4000,22,4.6,-1.64581,-49.8469,-0.316844
4000,23,4.23333,3.96889,-50.1284,1.74576
4000,24,4.46667,-1.51477,-48.0659,1.45464
4000,25,4.4,-1.01642,-44.5364,-0.550853
4000,26,4.33333,-2.03553,-43.9207,0.278453
4000,27,4,-1.84103,-42.3327,-0.366081
4000,28,5.03333,-0.311443,-52.9516,1.67663
4000,29,4.03333,3.88582,-44.766,-2.19217
4000,30,4.36667,0.0322674,-46.8313,3.66363
4000,31,4.16667,4.58829,-42.353,4.47591
4000,32,4.2,-0.283613,-43.3588,-0.991623
4000,33,3.7,1.14609,-36.6088,0.878159
4000,34,4.63333,-0.269357,-43.3036,-1.61847
4000,35,4.16667,-0.172,-43.2537,-0.72911
4000,36,4.26667,-0.789434,-42.9833,0.462227
